"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0013",7,"ld0013_7","ld0013_7_c_co2_samp_2","c_co2_samp_2",-4.772296189,-3.710350878,-4.114353221,-4.34771145,-3.915616835,-3.599604868,-1.20472975991595,-1.40309598247512,-1.40309598247512,-1.3076655504205,-1.3076655504205,-1.20472975991595,24,28,24,24,24,22
"ld0013",8,"ld0013_8","ld0013_8_c_co2_samp_1","c_co2_samp_1",-3.937432973,-3.758855827,NA,-4.214478221,NA,-3.483742126,-1.22180209121163,-1.0693338161154,-1.17068441937152,-1.17068441937152,-1.22180209121163,-1.0693338161154,32,30,23,28,23.5,23
"ld0013",8,"ld0013_8","ld0013_8_c_co2_samp_2","c_co2_samp_2",NA,-3.659885022,NA,-4.063120629,NA,-3.54760012,-1.22180209121163,-1.0693338161154,-1.17068441937152,-1.17068441937152,-1.22180209121163,-1.0693338161154,32,30,23,28,23.5,23
"ld0013",9,"ld0013_9","ld0013_9_c_co2_samp_1","c_co2_samp_1",-3.564527639,-3.718699002,-3.733646969,-3.862318208,-3.232187995,-3.220848021,-1.34224756766223,-1.35091440838462,-1.61498174177073,-1.35091440838462,-1.34224756766223,-1.61498174177073,32,21.5,22,26,22,28
"ld0013",9,"ld0013_9","ld0013_9_c_co2_samp_2","c_co2_samp_2",-3.823286467,-3.637363867,-3.750511037,-3.834935139,-3.342035254,-3.15757748,-1.34224756766223,-1.35091440838462,-1.61498174177073,-1.35091440838462,-1.34224756766223,-1.61498174177073,32,21.5,22,26,22,28
"ld0018",1,"ld0018_1","ld0018_1_c_co2_samp_1","c_co2_samp_1",-5.551837226,NA,-3.59528718,-3.742602768,NA,-3.618210153,0.641825542011974,0.887110392233929,0.676305647348913,0.887110392233929,0.641825542011974,0.676305647348913,32,20.5,30,26,22.5,27.5
"ld0018",1,"ld0018_1","ld0018_1_c_co2_samp_2","c_co2_samp_2",-4.1522569,NA,-3.454643987,-3.668680195,-3.551942183,-3.373743972,0.641825542011974,0.887110392233929,0.676305647348913,0.887110392233929,0.641825542011974,0.676305647348913,32,20.5,30,26,22.5,27.5
"ld0018",10,"ld0018_10","ld0018_10_c_co2_samp_1","c_co2_samp_1",NA,-3.798956796,-3.561171856,-4.068280207,-2.677570404,-3.522316267,-0.107906258927819,-0.422022900468751,-0.107906258927819,-0.367590977046391,-0.422022900468751,-0.367590977046391,28,21.5,23.5,30,26,23
"ld0018",10,"ld0018_10","ld0018_10_c_co2_samp_2","c_co2_samp_2",NA,-3.890156065,-2.881067543,-4.041525873,-2.624028749,-3.49418756,-0.107906258927819,-0.422022900468751,-0.107906258927819,-0.367590977046391,-0.422022900468751,-0.367590977046391,28,21.5,23.5,30,26,23
"ld0018",2,"ld0018_2","ld0018_2_c_co2_samp_1","c_co2_samp_1",NA,-3.447003688,-3.082315532,NA,-2.80009069,-3.462637113,0.785740275528213,0.785740275528213,0.846702758970394,1.05350095792467,0.846702758970394,1.05350095792467,25.6,22,23.6,23,28,24
"ld0018",2,"ld0018_2","ld0018_2_c_co2_samp_2","c_co2_samp_2",NA,-3.354370315,-3.498346447,-3.934275315,-2.908629019,-3.13978498,0.785740275528213,0.785740275528213,0.846702758970394,1.05350095792467,0.846702758970394,1.05350095792467,25.6,22,23.6,23,28,24
"ld0018",3,"ld0018_3","ld0018_3_c_co2_samp_1","c_co2_samp_1",-4.286343083,-2.489889918,-3.143108624,-3.901554777,-2.511610809,-3.313104379,0.28216575971988,-0.145616568436772,0.0191099933795685,0.28216575971988,-0.145616568436772,0.0191099933795685,26,32,26,22,26,28
