"id","date","samp_period","series","batch","incb_temp","log.temp","log.prior_temp","orig_lizmass","log.mass","z.log.mass","orig_co2_pmin","log.co2pmin","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0077","30/1/2017",6,"ld0077_6",2,32,3.46573590279973,3.19867311755068,1.339,0.291923066709035,1.09646917586476,0.007155545,-4.93986769836442,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0104","30/1/2017",6,"ld0104_6",2,32,3.46573590279973,3.17805383034795,1.307,0.267734434642085,0.886567702476291,0.013484239,-4.30623375705663,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0119","30/1/2017",6,"ld0119_6",2,32,3.46573590279973,3.17805383034795,1.232,0.208638865111328,0.373754614042706,0.008232318,-4.79968765145889,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0138","30/1/2017",6,"ld0138_6",2,32,3.46573590279973,3.19867311755068,1.085,0.0815799869924228,-0.72882306171944,0.00525755,-5.24809014020915,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0171","30/1/2017",6,"ld0171_6",2,32,3.46573590279973,3.2188758248682,1.181,0.166361537215225,0.00688502870372367,0.00710585,-4.94683689052814,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0006","28/1/2017",6,"ld0006_6",2,30,3.40119738166216,3.17805383034795,1.076,0.0732504617395927,-0.801104107557677,0.006149086,-5.09145182609462,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0013","28/1/2017",6,"ld0013_6",2,30,3.40119738166216,3.17805383034795,1.064,0.0620353909194527,-0.898425026028292,0.006561181,-5.02658466174188,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0043","28/1/2017",6,"ld0043_6",2,30,3.40119738166216,3.17805383034795,1.126,0.118671529717499,-0.406954117386605,0.00726988,-4.92401549376276,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0069","28/1/2017",6,"ld0069_6",2,30,3.40119738166216,3.17805383034795,1.364,0.31042155942127,1.25699337851569,0.011792586,-4.44028425006162,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0076","28/1/2017",6,"ld0076_6",2,30,3.40119738166216,3.17805383034795,1.324,0.280657457514817,0.998709701003173,0.007960989,-4.83320204061261,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0077","28/1/2017",6,"ld0077_6",2,30,3.40119738166216,3.17805383034795,1.352,0.301584977620772,1.18031225266664,0.006696072,-5.0062341931646,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0104","28/1/2017",6,"ld0104_6",2,30,3.40119738166216,3.17805383034795,1.321,0.278389025540188,0.979024949404237,0.011385597,-4.47540614342357,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0119","28/1/2017",6,"ld0119_6",2,30,3.40119738166216,3.17805383034795,1.256,0.227932068046007,0.54117506639251,0.012758222,-4.36157935246724,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0138","28/1/2017",6,"ld0138_6",2,30,3.40119738166216,3.17805383034795,1.106,0.100749903100143,-0.562472454351212,0.008418204,-4.77735877514264,0.310155,0.223143,0.1431,0.068992,0,-0.064539
