period,batch,chamber,id,tc,incubator,encl_id
10,1,12,ld0142,tc0331,2,e007
10,1,13,ld0154,tc02(A)0,2,e040
10,1,14,ld0146,tc0340,2,e013
10,1,15,ld0155,tc1342,2,e008
10,1,16,ld0105,tc0230,2,e048
10,1,17,ld0018,tc0A30,2,e011
10,1,18,ld0118,tc0251,2,e042
10,1,19,ld0088,tc0203,2,e041
10,1,20,ld0150,tc0344,2,e017
10,1,21,ld0027,tc0043,2,e038
10,2,1,ld0043,tc0104,1,e028
10,2,2,ld0171,tc0311,1,e053
10,2,3,ld0143,tc0333,1,e046
10,2,4,ld0069,tc0142,1,e024
10,2,5,ld0065,tc0134,1,e036
10,2,6,ld0076,tc0150,1,e025
10,2,7,ld0153,tc0350,1,e049
10,2,8,ld0115,tc0244,1,e041
10,2,9,ld0138,tc0323,1,e020
10,2,10,ld0119,tc0252,1,e018
10,2,11,ld0137,tc0322,2,e001
10,2,12,ld0092,tc0212,2,e009
10,2,13,ld0077,tc0151,2,e032
10,2,14,ld0128,tc0305,2,e034
10,2,15,ld0104,tc0225,2,e027
10,2,16,ld0013,tc0021,2,e044
10,2,17,ld0075,tc0145,2,e002
10,2,18,ld0111,tc0242,2,e026
10,2,19,ld0107,tc0232,2,e045
10,2,20,ld0175,tc0234,2,e013
10,2,21,ld0006,tc0010,2,e031
