series,id,samp_period,Intercept,inverseK_incb_temp,z.log.mass,inverseK_prior_temp2
ld0143_9,ld0143,9,-0.073985999,1.435969172,0.354044931,0.051851362
ld0146_1,ld0146,1,0.218427042,1.301766631,0.354044931,0.051851362
ld0146_10,ld0146,10,-0.15517184,1.410082951,0.354044931,0.051851362
ld0146_2,ld0146,2,0.241435256,1.223446148,0.354044931,0.051851362
ld0146_3,ld0146,3,0.253964835,1.146359013,0.354044931,0.051851362
ld0146_4,ld0146,4,-0.08064639,1.529960818,0.354044931,0.051851362
ld0146_5,ld0146,5,-0.177028068,1.540015326,0.354044931,0.051851362
ld0146_6,ld0146,6,-0.167800049,1.469576753,0.354044931,0.051851362
ld0146_7,ld0146,7,-0.12870238,1.469537009,0.354044931,0.051851362
ld0146_8,ld0146,8,-0.043559757,1.461865635,0.354044931,0.051851362
ld0146_9,ld0146,9,0.000115086,1.315053621,0.354044931,0.051851362
ld0150_1,ld0150,1,0.019069606,1.395647335,0.354044931,0.051851362
ld0150_10,ld0150,10,-0.015567461,1.415321735,0.354044931,0.051851362
ld0150_2,ld0150,2,0.410003173,1.069813945,0.354044931,0.051851362
ld0150_3,ld0150,3,-0.207077033,1.494241398,0.354044931,0.051851362
ld0150_4,ld0150,4,0.026519712,1.423639556,0.354044931,0.051851362
ld0150_5,ld0150,5,-0.043388391,1.426358955,0.354044931,0.051851362
ld0150_6,ld0150,6,-0.38309669,1.733662713,0.354044931,0.051851362
ld0150_7,ld0150,7,-0.180791681,1.539775743,0.354044931,0.051851362
ld0150_8,ld0150,8,-0.130713239,1.48893761,0.354044931,0.051851362
ld0150_9,ld0150,9,-0.074018315,1.377092838,0.354044931,0.051851362
